"Plattform;Suchbegriff;Kat1;Kat2;Kat3;Kat4;Kat5;Kat6;Kat7;Kat8;Kat9;Kat10"
"siri_simulator;Instagram;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.009;0.250;0.741"
"siri_simulator;Cristiano Ronaldo;0.250;0.000;0.250;0.250;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Ariana Grande;0.241;0.250;0.362;0.000;0.138;0.000;0.000;0.009;0.000;0.000"
"siri_simulator;Selena Gomez;0.250;0.000;0.181;0.000;0.319;0.250;0.000;0.000;0.000;0.000"
"siri_simulator;The Rock;0.000;0.491;0.000;0.000;0.000;0.000;0.000;0.509;0.000;0.000"
"siri_simulator;Kim Kardashian West;0.500;0.000;0.250;0.000;0.000;0.000;0.000;0.250;0.000;0.000"
"siri_simulator;Kylie Jenner;0.250;0.250;0.000;0.250;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Beyoncé;0.009;0.000;0.336;0.000;0.000;0.000;0.009;0.647;0.000;0.000"
"siri_simulator;Taylor Swift;0.250;0.216;0.534;0.000;0.000;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Leo Messi;0.397;0.250;0.000;0.000;0.250;0.000;0.000;0.103;0.000;0.000"
"siri_simulator;Neymar jr;0.250;0.250;0.250;0.000;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Kendall Jenner;0.250;0.250;0.000;0.000;0.474;0.000;0.000;0.026;0.000;0.000"
"siri_simulator;Justin Bieber;0.250;0.000;0.259;0.000;0.250;0.241;0.000;0.000;0.000;0.000"
"siri_simulator;National Geographic;0.000;0.000;0.000;0.000;0.000;0.000;0.250;0.000;0.750;0.000"
"siri_simulator;Barbie;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.259;0.741;0.000"
"siri_simulator;Khloe Kardashian;0.250;0.000;0.000;0.000;0.750;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Jennifer Lopez;0.250;0.000;0.750;0.000;0.000;0.000;0.000;0.000;0.000;0.000"
"siri_simulator;Miley Cyrus;0.250;0.009;0.000;0.000;0.491;0.000;0.250;0.000;0.000;0.000"
"siri_simulator;Nike;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.009;0.991;0.000"
"siri_simulator;Katy Perry;0.000;0.000;0.750;0.000;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_tab;Instagram;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.250;0.750"
"siri_tab;Cristiano Ronaldo;0.250;0.000;0.250;0.250;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_tab;Ariana Grande;0.207;0.043;0.129;0.000;0.414;0.000;0.207;0.000;0.000;0.000"
"siri_tab;Selena Gomez;0.250;0.000;0.250;0.000;0.250;0.250;0.000;0.000;0.000;0.000"
"siri_tab;The Rock;0.198;0.267;0.103;0.000;0.000;0.000;0.000;0.431;0.000;0.000"
"siri_tab;Kim Kardashian West;0.509;0.000;0.241;0.000;0.000;0.000;0.000;0.250;0.000;0.000"
"siri_tab;Kylie Jenner;0.250;0.250;0.000;0.250;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_tab;Beyoncé;0.000;0.000;0.250;0.000;0.000;0.000;0.241;0.509;0.000;0.000"
"siri_tab;Taylor Swift;0.250;0.250;0.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000"
"siri_tab;Leo Messi;0.250;0.207;0.000;0.043;0.250;0.000;0.000;0.250;0.000;0.000"
"siri_tab;Neymar jr;0.250;0.250;0.250;0.000;0.250;0.000;0.000;0.000;0.000;0.000"
"siri_tab;Kendall Jenner;0.250;0.250;0.000;0.000;0.500;0.000;0.000;0.000;0.000;0.000"
"siri_tab;Justin Bieber;0.250;0.000;0.250;0.034;0.250;0.216;0.000;0.000;0.000;0.000"
"siri_tab;National Geographic;0.000;0.000;0.000;0.000;0.000;0.000;0.241;0.026;0.733;0.000"
"siri_tab;Barbie;0.000;0.000;0.000;0.000;0.000;0.000;0.060;0.422;0.517;0.000"
"siri_tab;Khloe Kardashian;0.328;0.121;0.000;0.000;0.552;0.000;0.000;0.000;0.000;0.000"
"siri_tab;Jennifer Lopez;0.250;0.241;0.267;0.000;0.069;0.172;0.000;0.000;0.000;0.000"
"siri_tab;Miley Cyrus;0.250;0.000;0.034;0.000;0.466;0.000;0.043;0.207;0.000;0.000"
"siri_tab;Nike;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000"
"siri_tab;Katy Perry;0.310;0.000;0.319;0.000;0.250;0.000;0.112;0.009;0.000;0.000"
"DuckDuckGo;Instagram;0.000;0.000;0.000;0.000;0.000;0.000;0.100;0.300;0.000;0.600"
"DuckDuckGo;Cristiano Ronaldo;0.400;0.100;0.000;0.000;0.400;0.000;0.000;0.100;0.000;0.000"
"DuckDuckGo;Ariana Grande;0.200;0.100;0.400;0.000;0.000;0.000;0.000;0.300;0.000;0.000"
"DuckDuckGo;Selena Gomez;0.444;0.111;0.222;0.000;0.111;0.000;0.000;0.111;0.000;0.000"
"DuckDuckGo;The Rock;0.000;0.111;0.111;0.000;0.000;0.000;0.222;0.556;0.000;0.000"
"DuckDuckGo;Kim Kardashian West;0.286;0.000;0.000;0.000;0.714;0.000;0.000;0.000;0.000;0.000"
"DuckDuckGo;Kylie Jenner;0.108;0.677;0.108;0.000;0.108;0.000;0.000;0.000;0.000;0.000"
"DuckDuckGo;Beyoncé;0.200;0.000;0.400;0.000;0.100;0.100;0.000;0.200;0.000;0.000"
"DuckDuckGo;Taylor Swift;0.500;0.000;0.500;0.000;0.000;0.000;0.000;0.000;0.000;0.000"
"DuckDuckGo;Leo Messi;0.387;0.082;0.000;0.000;0.297;0.000;0.000;0.234;0.000;0.000"
"DuckDuckGo;Neymar jr;0.000;0.100;0.300;0.000;0.100;0.000;0.000;0.500;0.000;0.000"
"DuckDuckGo;Kendall Jenner;0.375;0.125;0.250;0.000;0.250;0.000;0.000;0.000;0.000;0.000"
"DuckDuckGo;Justin Bieber;0.300;0.000;0.300;0.000;0.100;0.000;0.000;0.300;0.000;0.000"
"DuckDuckGo;National Geographic;0.000;0.000;0.000;0.000;0.000;0.000;0.100;0.100;0.500;0.300"
"DuckDuckGo;Barbie;0.000;0.000;0.000;0.000;0.000;0.000;0.111;0.222;0.667;0.000"
"DuckDuckGo;Khloe Kardashian;0.297;0.266;0.000;0.000;0.236;0.100;0.000;0.100;0.000;0.000"
"DuckDuckGo;Jennifer Lopez;0.400;0.200;0.300;0.000;0.000;0.100;0.000;0.000;0.000;0.000"
"DuckDuckGo;Miley Cyrus;0.522;0.000;0.131;0.000;0.131;0.217;0.000;0.000;0.000;0.000"
"DuckDuckGo;Nike;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.100;0.700;0.200"
"DuckDuckGo;Katy Perry;0.295;0.115;0.525;0.000;0.066;0.000;0.000;0.000;0.000;0.000"
"Bing;Instagram;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.536;0.091;0.373"
"Bing;Cristiano Ronaldo;0.310;0.000;0.093;0.247;0.186;0.009;0.000;0.155;0.000;0.000"
"Bing;Ariana Grande;0.580;0.000;0.279;0.000;0.000;0.000;0.000;0.141;0.000;0.000"
"Bing;Selena Gomez;0.799;0.000;0.100;0.000;0.000;0.009;0.000;0.091;0.000;0.000"
"Bing;The Rock;0.150;0.000;0.091;0.000;0.000;0.000;0.295;0.464;0.000;0.000"
"Bing;Kim Kardashian West;0.557;0.000;0.279;0.000;0.164;0.000;0.000;0.000;0.000;0.000"
"Bing;Kylie Jenner;0.445;0.072;0.060;0.191;0.141;0.000;0.000;0.091;0.000;0.000"
"Bing;Beyoncé;0.181;0.000;0.567;0.040;0.066;0.000;0.000;0.146;0.000;0.000"
"Bing;Taylor Swift;0.323;0.000;0.386;0.000;0.150;0.000;0.000;0.141;0.000;0.000"
"Bing;Leo Messi;0.636;0.000;0.000;0.182;0.100;0.000;0.000;0.082;0.000;0.000"
"Bing;Neymar jr;0.304;0.000;0.345;0.019;0.110;0.000;0.000;0.223;0.000;0.000"
"Bing;Kendall Jenner;0.273;0.414;0.000;0.000;0.182;0.000;0.041;0.091;0.000;0.000"
"Bing;Justin Bieber;0.486;0.041;0.141;0.000;0.091;0.182;0.000;0.060;0.000;0.000"
"Bing;National Geographic;0.000;0.000;0.000;0.000;0.000;0.000;0.091;0.056;0.439;0.414"
"Bing;Barbie;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.185;0.815;0.000"
"Bing;Khloe Kardashian;0.455;0.141;0.000;0.000;0.263;0.041;0.000;0.100;0.000;0.000"
"Bing;Jennifer Lopez;0.361;0.034;0.141;0.069;0.056;0.091;0.000;0.248;0.000;0.000"
"Bing;Miley Cyrus;0.536;0.000;0.191;0.000;0.132;0.091;0.000;0.050;0.000;0.000"
"Bing;Nike;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.122;0.586;0.292"
"Bing;Katy Perry;0.321;0.000;0.679;0.000;0.000;0.000;0.000;0.000;0.000;0.000"
"Google;Instagram;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.222;0.050;0.728"
"Google;Cristiano Ronaldo;0.115;0.111;0.057;0.222;0.391;0.000;0.004;0.100;0.000;0.000"
"Google;Ariana Grande;0.065;0.195;0.464;0.000;0.008;0.000;0.092;0.176;0.000;0.000"
"Google;Selena Gomez;0.123;0.176;0.211;0.034;0.218;0.034;0.000;0.203;0.000;0.000"
"Google;The Rock;0.069;0.245;0.084;0.019;0.123;0.000;0.000;0.460;0.000;0.000"
"Google;Kim Kardashian West;0.249;0.000;0.111;0.257;0.169;0.000;0.000;0.215;0.000;0.000"
"Google;Kylie Jenner;0.172;0.318;0.115;0.153;0.134;0.000;0.000;0.107;0.000;0.000"
"Google;Beyoncé;0.134;0.180;0.410;0.000;0.165;0.000;0.000;0.111;0.000;0.000"
"Google;Taylor Swift;0.107;0.157;0.498;0.011;0.119;0.000;0.004;0.103;0.000;0.000"
"Google;Leo Messi;0.238;0.172;0.000;0.199;0.222;0.000;0.000;0.169;0.000;0.000"
"Google;Neymar jr;0.134;0.130;0.307;0.169;0.192;0.000;0.000;0.069;0.000;0.000"
"Google;Kendall Jenner;0.027;0.640;0.000;0.138;0.176;0.000;0.000;0.019;0.000;0.000"
"Google;Justin Bieber;0.092;0.161;0.146;0.111;0.119;0.146;0.000;0.226;0.000;0.000"
"Google;National Geographic;0.000;0.000;0.000;0.000;0.000;0.000;0.084;0.004;0.479;0.433"
"Google;Barbie;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.520;0.480;0.000"
"Google;Khloe Kardashian;0.119;0.397;0.000;0.000;0.477;0.000;0.000;0.008;0.000;0.000"
"Google;Jennifer Lopez;0.153;0.161;0.287;0.000;0.272;0.000;0.008;0.119;0.000;0.000"
"Google;Miley Cyrus;0.107;0.134;0.352;0.011;0.268;0.000;0.000;0.126;0.000;0.000"
"Google;Nike;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.084;0.854;0.061"
"Google;Katy Perry;0.019;0.096;0.701;0.000;0.046;0.000;0.000;0.138;0.000;0.000"
